"@lat"	"@lon"	"name"	"type"
"48.3699679"	"2.7529336"	"Roches Creuses"	"attraction"
"43.2110247"	"5.4550744"	"Calanque de Sugiton"	"attraction"
"50.1519188"	"3.6179436"	"Musée des Évolutions"	"museum"
"49.0575437"	"7.7137615"	"Burgruine Blumenstein"	"ruins"
"49.0575437"	"7.7137615"	"Burgruine Blumenstein"	"attraction"
"45.1858217"	"0.7236234"	"Musée d'Art et d'Archéologie du Périgord"	"museum"
"47.3911120"	"0.9701246"	"Pagode de Chanteloup"	"castle"
"47.3911120"	"0.9701246"	"Pagode de Chanteloup"	"attraction"
"42.2540780"	"8.6507840"	"Château Fort"	"viewpoint"
"43.1492941"	"3.1077800"	"La vigie"	"viewpoint"
"42.5524369"	"8.7374025"	"Notre Dame della Serra"	"viewpoint"
"42.6953078"	"9.3998671"	"Serra di Pigno"	"viewpoint"
"48.3541096"	"2.7343860"	"005"	"viewpoint"
"48.8865065"	"2.1640357"	"Maison Giquel"	"attraction"
"48.0503251"	"7.2618173"	"Rocher Turenne"	"attraction"
"46.3029466"	"5.5693925"	"Chaussée aux Dinosaures"	"archaeological_site"
"46.3029466"	"5.5693925"	"Chaussée aux Dinosaures"	"attraction"
"43.7337991"	"3.5493176"	"Le Cloître de l'Abbaye de Gellone"	"museum"
"45.8919780"	"6.1891252"	"Ancienne Gare de Téléphérique"	"viewpoint"
"43.9993482"	"5.9102754"	"Ganagobie Plateau"	"viewpoint"
"49.0426798"	"3.9693405"	"Champagne de Castellane"	"attraction"
"49.0424907"	"3.9604907"	"Champagne Perrier Jouët"	"attraction"
"49.0420924"	"3.9633635"	"Champagne Pol Roger"	"attraction"
"49.0417302"	"3.9658773"	"Champagne Boizel/De Venoge"	"attraction"
"49.0446255"	"3.9436629"	"Champagne L B"	"attraction"
"49.0477542"	"3.9498063"	"Champagne Ellner"	"attraction"
"44.3223547"	"4.5480900"	"Belvédère Ranc Pointu"	"viewpoint"
"49.4224805"	"6.0277574"	"Part of an old cross?"	"attraction"
"45.8615826"	"1.7988149"	"Cascade des Jarrauds"	"attraction"
"46.0498453"	"0.6871620"	"Point de vue panoramique"	"viewpoint"
"45.5203055"	"-1.1201894"	"Mémorial du Fort Médoc Nord"	"museum"
"44.8812562"	"5.5224971"	"Pas de la Ville"	"viewpoint"
"46.2038442"	"6.8096557"	"Pointe de Chésery ou de Bécret"	"viewpoint"
"48.5754917"	"7.2871521"	"Hirschfels"	"viewpoint"
"43.4171146"	"5.5166401"	"Point de Vue de Pergine"	"viewpoint"
"49.2493495"	"2.5975916"	"Chêne à l'image"	"attraction"
"48.4265469"	"-4.6792709"	"Menhir de Kerloas"	"archaeological_site"
"48.4265469"	"-4.6792709"	"Menhir de Kerloas"	"attraction"
"46.1165072"	"6.3683091"	"Expomusee"	"museum"
"46.9706685"	"5.9962220"	"Musée de la Taillanderie"	"museum"
"49.5817505"	"2.9984424"	"Musée Jean Calvin"	"museum"
"47.0107138"	"6.2997583"	"Source de la Loue"	"attraction"
"43.5055164"	"5.6183866"	"Vue sur la haute vallée de l'Arc"	"viewpoint"
"43.5046284"	"5.6158115"	"Vue sur la haute vallée de l'Arc"	"viewpoint"
"45.8713101"	"5.7303174"	"Belvédère du pierrier"	"viewpoint"
"44.3736968"	"3.8227704"	"Pont du Tarn"	"attraction"
"47.3453465"	"6.3793361"	"Fente de Babre"	"viewpoint"
"47.4914679"	"-2.6827625"	"Pointe de Penvins"	"viewpoint"
"46.6972146"	"-1.7605675"	"Le Jardin des Olfacties"	"museum"
"44.6483884"	"3.2871457"	"Roc de Peyre"	"viewpoint"
"43.6935052"	"7.2790898"	"Raubà capeu"	"viewpoint"
"46.5205705"	"6.0226517"	"Musée de la lunette"	"museum"
"44.6459902"	"3.0704361"	"Cascade du Déroc"	"attraction"
"43.0816100"	"6.0324137"	"Musée de la Mine de Cap Garonne"	"museum"
"45.4128925"	"4.4404028"	"Madone de Rochetaillée"	"monument"
"45.4128925"	"4.4404028"	"Madone de Rochetaillée"	"viewpoint"
"47.0296719"	"6.2699023"	"Belvédère du Moine"	"viewpoint"
"47.0237168"	"6.2824385"	"Belvedere Renedale"	"viewpoint"
"48.8339640"	"2.3324924"	"Catacombes de Paris"	"museum"
"44.9002152"	"6.3565125"	"Col de la Temple"	"viewpoint"
"47.0686726"	"6.0177792"	"Belvedère de Gouille Noire"	"viewpoint"
"49.6561385"	"0.3785581"	"Ecomusée de la Pomme et du Cidre"	"museum"
"44.2408550"	"3.7473645"	"Menhir"	"attraction"
"46.6139044"	"5.8550754"	"Cascade de l'Eventail"	"attraction"
"46.6631787"	"5.8164067"	"Vue sur le Lac Chalain"	"viewpoint"
"46.6881951"	"5.6382305"	"Belvédère des Roches de Baume"	"viewpoint"
"46.7662199"	"5.6939244"	"Belvedère du cirque de Ladoye"	"viewpoint"
"48.6667883"	"7.2368524"	"Rocher de Sickert"	"viewpoint"
"48.0697884"	"7.0345624"	"Belvédère des Hirschsteine"	"viewpoint"
"48.0645451"	"7.0324653"	"Spitzenfelsen"	"viewpoint"
"47.0870539"	"6.7140865"	"Saut-du-Doubs"	"attraction"
"48.8361266"	"-0.8886282"	"Musée de Vire"	"museum"
"43.6913465"	"5.9075531"	"Panoramique à 360°"	"viewpoint"
"45.2579655"	"5.8115445"	"Pierre Grosse"	"attraction"
"42.3064050"	"9.1483295"	"Musée de la Corse"	"museum"
"43.5635711"	"6.1851347"	"Belvédère de la Cascade"	"viewpoint"
"48.0619020"	"6.8378425"	"Cascade de Mérelle"	"attraction"
"48.6368020"	"-1.5104358"	"Tour du Nord"	"viewpoint"
"44.4581845"	"6.0031476"	"Vue sur Gapençais & Écrins"	"viewpoint"
"48.2229923"	"0.5928030"	"Centre d'escalade"	"attraction"
"45.8060517"	"6.4249667"	"Arête du Pas de l'Ours"	"viewpoint"
"50.3678670"	"3.0806042"	"Beffroi"	"tower"
"50.3678670"	"3.0806042"	"Beffroi"	"attraction"
"48.9982761"	"7.6814408"	"Ruine Windstein"	"viewpoint"
"43.7419007"	"7.0009685"	"Cascade de Courmes"	"attraction"
"48.6837111"	"2.4902765"	"Obélisque"	"yes"
"48.6837111"	"2.4902765"	"Obélisque"	"attraction"
